event,epc,temperature,unit,timestamp
temperature_read,300000000024EB,0.40,F,2025-10-06 03:03:11.306269+00:00
temperature_read,300000000024EC,18.30,F,2025-10-06 03:03:11.306577+00:00
temperature_read,300000000024ED,31.60,C,2025-10-06 03:03:11.306882+00:00
temperature_read,300000000024EE,-10.00,C,2025-10-06 03:03:11.307121+00:00
temperature_read,300000000024EF,21.30,F,2025-10-06 03:03:11.307369+00:00
temperature_read,300000000024F1,30.00,C,2025-10-06 03:03:11.307839+00:00
temperature_read,300000000024F2,16.60,C,2025-10-06 03:03:11.308169+00:00
temperature_read,300000000024F4,5.40,F,2025-10-06 03:03:11.308667+00:00
temperature_read,300000000024F5,25.80,C,2025-10-06 03:03:11.308858+00:00
temperature_read,300000000024F7,-6.20,C,2025-10-06 03:03:11.309262+00:00
temperature_read,300000000024F8,37.80,F,2025-10-06 03:03:11.309452+00:00
temperature_read,300000000024F9,31.40,C,2025-10-06 03:03:11.309697+00:00
temperature_read,300000000024FA,16.90,C,2025-10-06 03:03:11.309978+00:00
temperature_read,300000000024FC,22.10,C,2025-10-06 03:03:11.310391+00:00
temperature_read,300000000024FD,19.00,F,2025-10-06 03:03:11.310574+00:00
temperature_read,300000000024FE,14.40,F,2025-10-06 03:03:11.310757+00:00
temperature_read,300000000024FF,24.30,C,2025-10-06 03:03:11.310940+00:00
temperature_read,30000000002500,1.10,C,2025-10-06 03:03:11.311113+00:00
temperature_read,30000000002501,10.60,F,2025-10-06 03:03:11.311447+00:00
temperature_read,30000000002502,13.10,F,2025-10-06 03:03:11.311753+00:00
temperature_read,30000000002505,21.80,F,2025-10-06 03:03:11.312852+00:00
temperature_read,30000000002506,14.40,F,2025-10-06 03:03:11.313170+00:00
temperature_read,30000000002507,-6.90,F,2025-10-06 03:03:11.313460+00:00
temperature_read,30000000002508,16.00,C,2025-10-06 03:03:11.313670+00:00
temperature_read,3000000000250B,-0.40,F,2025-10-06 03:03:11.314405+00:00
temperature_read,3000000000250C,19.50,F,2025-10-06 03:03:11.314603+00:00
temperature_read,3000000000250D,27.50,F,2025-10-06 03:03:11.314797+00:00
temperature_read,3000000000250E,7.90,F,2025-10-06 03:03:11.315016+00:00
temperature_read,3000000000250F,29.60,F,2025-10-06 03:03:11.315234+00:00
temperature_read,30000000002510,5.70,F,2025-10-06 03:03:11.315711+00:00
temperature_read,30000000002511,9.20,C,2025-10-06 03:03:11.316015+00:00
temperature_read,30000000002512,29.20,C,2025-10-06 03:03:11.316351+00:00
temperature_read,30000000002513,32.50,F,2025-10-06 03:03:11.316690+00:00
temperature_read,30000000002515,26.70,F,2025-10-06 03:03:11.317332+00:00
temperature_read,30000000002517,28.30,F,2025-10-06 03:03:11.317867+00:00
temperature_read,30000000002518,6.50,F,2025-10-06 03:03:11.318060+00:00
temperature_read,3000000000251A,31.10,C,2025-10-06 03:03:11.318498+00:00
temperature_read,3000000000251B,29.50,F,2025-10-06 03:03:11.318783+00:00
temperature_read,3000000000251E,11.40,F,2025-10-06 03:03:11.319776+00:00
temperature_read,3000000000251F,10.70,C,2025-10-06 03:03:11.320106+00:00
temperature_read,30000000002520,-1.10,F,2025-10-06 03:03:11.320331+00:00
temperature_read,30000000002521,22.00,F,2025-10-06 03:03:11.320745+00:00
temperature_read,30000000002522,-1.80,C,2025-10-06 03:03:11.321077+00:00
temperature_read,30000000002524,13.70,C,2025-10-06 03:03:11.321615+00:00
temperature_read,30000000002525,38.10,F,2025-10-06 03:03:11.321870+00:00
temperature_read,30000000002526,-8.70,C,2025-10-06 03:03:11.322136+00:00
temperature_read,30000000002528,1.90,C,2025-10-06 03:03:11.322581+00:00
temperature_read,30000000002529,27.40,C,2025-10-06 03:03:11.322771+00:00
temperature_read,3000000000252A,13.60,F,2025-10-06 03:03:11.323042+00:00
temperature_read,3000000000252B,5.00,C,2025-10-06 03:03:11.323401+00:00
temperature_read,3000000000252C,26.20,F,2025-10-06 03:03:11.323711+00:00
temperature_read,3000000000252D,15.50,C,2025-10-06 03:03:11.324018+00:00
temperature_read,3000000000252E,23.50,F,2025-10-06 03:03:11.324297+00:00
temperature_read,3000000000252F,23.70,F,2025-10-06 03:03:11.324572+00:00
temperature_read,30000000002530,26.80,C,2025-10-06 03:03:11.324898+00:00
temperature_read,30000000002533,10.40,C,2025-10-06 03:03:11.325660+00:00
temperature_read,30000000002534,9.50,C,2025-10-06 03:03:11.325858+00:00
temperature_read,30000000002535,26.00,F,2025-10-06 03:03:11.326055+00:00
temperature_read,30000000002536,3.20,C,2025-10-06 03:03:11.326245+00:00
temperature_read,30000000002537,32.00,C,2025-10-06 03:03:11.326433+00:00
temperature_read,30000000002539,28.90,C,2025-10-06 03:03:11.326820+00:00
temperature_read,3000000000253A,17.10,C,2025-10-06 03:03:11.327210+00:00
