event,epc,item_name,sku,price,currency,timestamp
price_lookup,30000000001F8C,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:17.541671+00:00
price_lookup,30000000001F91,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:01:17.542940+00:00
price_lookup,30000000001F92,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:01:17.543265+00:00
price_lookup,30000000001F93,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:01:17.543480+00:00
price_lookup,30000000001F96,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:17.544412+00:00
price_lookup,30000000001F98,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:01:17.544854+00:00
price_lookup,30000000001FA0,Running Shoes,RS-6678,129.99,USD,2025-10-06 03:01:17.546831+00:00
price_lookup,30000000001FA2,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:01:17.547334+00:00
price_lookup,30000000001FA4,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:17.547866+00:00
price_lookup,30000000001FA7,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:17.548679+00:00
price_lookup,30000000001FA8,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:01:17.548858+00:00
price_lookup,30000000001FAA,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:17.549348+00:00
price_lookup,30000000001FAB,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:01:17.549572+00:00
price_lookup,30000000001FAC,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:01:17.549885+00:00
price_lookup,30000000001FB0,Running Shoes,RS-6678,129.99,USD,2025-10-06 03:01:17.550825+00:00
price_lookup,30000000001FB7,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:01:17.552841+00:00
price_lookup,30000000001FB8,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:01:17.553073+00:00
price_lookup,30000000001FB9,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:01:17.553262+00:00
price_lookup,30000000001FBD,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:01:17.554462+00:00
price_lookup,30000000001FC0,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:01:17.555187+00:00
price_lookup,30000000001FC1,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:01:17.555695+00:00
price_lookup,30000000001FC4,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:01:17.556749+00:00
price_lookup,30000000001FC9,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:01:17.558699+00:00
price_lookup,30000000001FD0,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:01:17.560839+00:00
price_lookup,30000000001FD1,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:01:17.561103+00:00
price_lookup,30000000001FD6,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:17.562573+00:00
price_lookup,30000000001FDD,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:17.564615+00:00
price_lookup,30000000001FDE,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:17.564911+00:00
price_lookup,30000000001FDF,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:01:17.565215+00:00
price_lookup,30000000001FE3,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:01:17.566387+00:00
price_lookup,30000000001FE4,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:01:17.566711+00:00
price_lookup,30000000001FE5,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:01:17.567018+00:00
price_lookup,30000000001FEA,Smart Watch,SW-3345,299.99,USD,2025-10-06 03:01:17.568507+00:00
price_lookup,30000000001FEB,Running Shoes,RS-6678,129.99,USD,2025-10-06 03:01:17.568827+00:00
price_lookup,30000000001FEF,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:01:17.570437+00:00
price_lookup,30000000001FF3,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:01:17.572274+00:00
price_lookup,30000000001FF5,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:17.573104+00:00
price_lookup,30000000001FF6,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:01:17.573397+00:00
price_lookup,30000000001FF7,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:01:17.573732+00:00
