event,epc,item_name,sku,price,currency,timestamp
price_lookup,300000000011D8,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:01:08.946386+00:00
price_lookup,300000000011DF,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:08.947776+00:00
price_lookup,300000000011E4,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:01:08.948857+00:00
price_lookup,300000000011E6,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:01:08.949334+00:00
price_lookup,300000000011E7,Smart Watch,SW-3345,299.99,USD,2025-10-06 03:01:08.949604+00:00
price_lookup,300000000011EA,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:01:08.950419+00:00
price_lookup,300000000011EE,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:01:08.951379+00:00
price_lookup,300000000011EF,Smart Watch,SW-3345,299.99,USD,2025-10-06 03:01:08.951605+00:00
price_lookup,300000000011F0,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:08.951856+00:00
price_lookup,300000000011F2,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:01:08.952232+00:00
price_lookup,300000000011F8,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:08.953584+00:00
price_lookup,300000000011FA,Running Shoes,RS-6678,129.99,USD,2025-10-06 03:01:08.954132+00:00
price_lookup,30000000001204,Smart Watch,SW-3345,299.99,USD,2025-10-06 03:01:08.956212+00:00
price_lookup,30000000001208,Running Shoes,RS-6678,129.99,USD,2025-10-06 03:01:08.957059+00:00
price_lookup,3000000000120F,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:01:08.958936+00:00
price_lookup,30000000001210,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:01:08.959167+00:00
price_lookup,30000000001217,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:01:08.960715+00:00
price_lookup,30000000001218,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:01:08.960953+00:00
price_lookup,30000000001221,Running Shoes,RS-6678,129.99,USD,2025-10-06 03:01:08.963712+00:00
price_lookup,30000000001222,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:08.964017+00:00
price_lookup,30000000001226,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:01:08.965163+00:00
price_lookup,30000000001227,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:08.965467+00:00
price_lookup,3000000000122C,Running Shoes,RS-6678,129.99,USD,2025-10-06 03:01:08.966911+00:00
price_lookup,3000000000122D,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:01:08.967158+00:00
price_lookup,30000000001230,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:01:08.967930+00:00
price_lookup,30000000001236,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:01:08.969240+00:00
price_lookup,30000000001239,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:01:08.970049+00:00
price_lookup,3000000000123B,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:01:08.970555+00:00
price_lookup,3000000000123C,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:01:08.970745+00:00
price_lookup,3000000000123D,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:01:08.970929+00:00
price_lookup,30000000001242,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:08.972072+00:00
price_lookup,30000000001245,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:01:08.972763+00:00
price_lookup,30000000001247,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:01:08.973271+00:00
price_lookup,30000000001248,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:01:08.973551+00:00
price_lookup,3000000000124B,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:01:08.974429+00:00
price_lookup,3000000000124C,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:01:08.974725+00:00
price_lookup,30000000001250,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:01:08.976334+00:00
price_lookup,30000000001256,Running Shoes,RS-6678,129.99,USD,2025-10-06 03:01:08.977961+00:00
price_lookup,30000000001259,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:01:08.979007+00:00
price_lookup,3000000000125B,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:01:08.979892+00:00
price_lookup,30000000001260,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:08.981520+00:00
price_lookup,30000000001267,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:01:08.983734+00:00
price_lookup,3000000000126A,Running Shoes,RS-6678,129.99,USD,2025-10-06 03:01:08.984540+00:00
price_lookup,3000000000126B,Smart Watch,SW-3345,299.99,USD,2025-10-06 03:01:08.984803+00:00
price_lookup,30000000001270,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:08.986704+00:00
price_lookup,30000000001272,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:01:08.987415+00:00
price_lookup,30000000001273,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:01:08.987727+00:00
price_lookup,30000000001275,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:01:08.988372+00:00
price_lookup,30000000001278,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:01:08.989247+00:00
price_lookup,3000000000127A,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:01:08.989889+00:00
price_lookup,30000000001282,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:01:08.992379+00:00
price_lookup,30000000001286,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:01:08.993245+00:00
price_lookup,30000000001288,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:01:08.993660+00:00
price_lookup,3000000000128A,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:01:08.994070+00:00
price_lookup,3000000000128B,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:01:08.994259+00:00
price_lookup,3000000000128C,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:01:08.994559+00:00
price_lookup,3000000000128D,Smart Watch,SW-3345,299.99,USD,2025-10-06 03:01:08.994831+00:00
price_lookup,3000000000128F,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:01:08.995466+00:00
price_lookup,30000000001291,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:01:08.995944+00:00
price_lookup,30000000001292,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:01:08.996139+00:00
price_lookup,3000000000129B,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:01:08.998852+00:00
price_lookup,3000000000129D,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:01:08.999421+00:00
price_lookup,3000000000129E,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:01:08.999685+00:00
price_lookup,300000000012A0,Smart Watch,SW-3345,299.99,USD,2025-10-06 03:01:09.000159+00:00
price_lookup,300000000012A8,Backpack,BP-1123,79.99,USD,2025-10-06 03:01:09.001767+00:00
price_lookup,300000000012AA,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:01:09.002174+00:00
price_lookup,300000000012AC,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:01:09.002699+00:00
price_lookup,300000000012AF,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:01:09.003296+00:00
price_lookup,300000000012B5,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:01:09.004507+00:00
price_lookup,300000000012B9,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:01:09.005341+00:00
