event,epc,temperature,unit,timestamp
temperature_read,30000000001275,32.00,C,2025-10-06 03:01:06.363762+00:00
temperature_read,30000000001277,-1.60,C,2025-10-06 03:01:06.364193+00:00
temperature_read,30000000001278,-5.20,F,2025-10-06 03:01:06.364429+00:00
temperature_read,30000000001279,11.30,C,2025-10-06 03:01:06.364671+00:00
temperature_read,3000000000127A,18.60,C,2025-10-06 03:01:06.365042+00:00
temperature_read,3000000000127C,28.30,C,2025-10-06 03:01:06.365834+00:00
temperature_read,3000000000127D,-3.40,C,2025-10-06 03:01:06.366196+00:00
temperature_read,30000000001283,17.20,F,2025-10-06 03:01:06.368249+00:00
temperature_read,30000000001285,-3.20,F,2025-10-06 03:01:06.368702+00:00
temperature_read,30000000001286,-9.10,F,2025-10-06 03:01:06.368952+00:00
temperature_read,30000000001287,9.00,F,2025-10-06 03:01:06.369185+00:00
temperature_read,30000000001288,-9.40,C,2025-10-06 03:01:06.369440+00:00
temperature_read,3000000000128B,9.00,C,2025-10-06 03:01:06.370501+00:00
temperature_read,3000000000128D,-7.30,F,2025-10-06 03:01:06.371331+00:00
temperature_read,3000000000128E,-1.70,F,2025-10-06 03:01:06.371664+00:00
temperature_read,3000000000128F,33.70,F,2025-10-06 03:01:06.371939+00:00
temperature_read,30000000001291,30.20,F,2025-10-06 03:01:06.372526+00:00
temperature_read,30000000001292,6.00,C,2025-10-06 03:01:06.372754+00:00
temperature_read,30000000001293,-1.40,C,2025-10-06 03:01:06.373089+00:00
temperature_read,30000000001294,27.60,C,2025-10-06 03:01:06.373342+00:00
temperature_read,30000000001296,17.90,F,2025-10-06 03:01:06.374058+00:00
temperature_read,30000000001298,26.10,C,2025-10-06 03:01:06.374631+00:00
temperature_read,3000000000129B,31.70,F,2025-10-06 03:01:06.375394+00:00
temperature_read,3000000000129C,27.10,F,2025-10-06 03:01:06.375648+00:00
temperature_read,3000000000129D,11.90,C,2025-10-06 03:01:06.375870+00:00
temperature_read,3000000000129F,-6.90,F,2025-10-06 03:01:06.376297+00:00
temperature_read,300000000012A1,17.40,C,2025-10-06 03:01:06.376881+00:00
temperature_read,300000000012A2,3.40,C,2025-10-06 03:01:06.377126+00:00
temperature_read,300000000012A4,11.60,C,2025-10-06 03:01:06.377601+00:00
temperature_read,300000000012A5,4.10,C,2025-10-06 03:01:06.377792+00:00
temperature_read,300000000012A6,31.50,F,2025-10-06 03:01:06.377982+00:00
temperature_read,300000000012A7,26.90,F,2025-10-06 03:01:06.378250+00:00
temperature_read,300000000012A9,12.40,F,2025-10-06 03:01:06.379033+00:00
temperature_read,300000000012AA,32.70,C,2025-10-06 03:01:06.379329+00:00
temperature_read,300000000012AC,22.20,C,2025-10-06 03:01:06.379970+00:00
temperature_read,300000000012AE,25.70,F,2025-10-06 03:01:06.380381+00:00
temperature_read,300000000012B3,12.30,F,2025-10-06 03:01:06.381858+00:00
temperature_read,300000000012B4,25.30,F,2025-10-06 03:01:06.382134+00:00
temperature_read,300000000012B5,34.80,C,2025-10-06 03:01:06.382470+00:00
temperature_read,300000000012B6,21.90,C,2025-10-06 03:01:06.382748+00:00
temperature_read,300000000012B7,33.30,F,2025-10-06 03:01:06.383141+00:00
temperature_read,300000000012BA,10.10,C,2025-10-06 03:01:06.383997+00:00
temperature_read,300000000012BB,20.40,C,2025-10-06 03:01:06.384225+00:00
temperature_read,300000000012BC,22.00,F,2025-10-06 03:01:06.384496+00:00
temperature_read,300000000012BD,4.20,F,2025-10-06 03:01:06.384755+00:00
temperature_read,300000000012C0,2.20,C,2025-10-06 03:01:06.385476+00:00
temperature_read,300000000012C1,19.90,C,2025-10-06 03:01:06.385738+00:00
temperature_read,300000000012C2,-3.80,F,2025-10-06 03:01:06.386001+00:00
temperature_read,300000000012C3,18.20,C,2025-10-06 03:01:06.386189+00:00
temperature_read,300000000012C4,27.00,C,2025-10-06 03:01:06.386441+00:00
temperature_read,300000000012C5,-2.00,F,2025-10-06 03:01:06.386660+00:00
temperature_read,300000000012C7,27.10,F,2025-10-06 03:01:06.387279+00:00
temperature_read,300000000012C8,25.40,F,2025-10-06 03:01:06.387615+00:00
temperature_read,300000000012C9,27.20,F,2025-10-06 03:01:06.387904+00:00
temperature_read,300000000012CC,-6.20,C,2025-10-06 03:01:06.388532+00:00
temperature_read,300000000012CE,-0.30,F,2025-10-06 03:01:06.388921+00:00
temperature_read,300000000012D0,38.00,C,2025-10-06 03:01:06.389454+00:00
temperature_read,300000000012D1,25.10,F,2025-10-06 03:01:06.389781+00:00
temperature_read,300000000012D3,2.60,C,2025-10-06 03:01:06.390404+00:00
temperature_read,300000000012D4,16.40,F,2025-10-06 03:01:06.390772+00:00
temperature_read,300000000012D6,16.50,C,2025-10-06 03:01:06.391355+00:00
temperature_read,300000000012D8,-3.40,F,2025-10-06 03:01:06.391975+00:00
temperature_read,300000000012D9,3.30,F,2025-10-06 03:01:06.392248+00:00
temperature_read,300000000012DB,26.20,C,2025-10-06 03:01:06.392739+00:00
temperature_read,300000000012DC,7.90,C,2025-10-06 03:01:06.393012+00:00
temperature_read,300000000012DD,8.00,C,2025-10-06 03:01:06.393254+00:00
temperature_read,300000000012DE,20.50,C,2025-10-06 03:01:06.393495+00:00
temperature_read,300000000012E0,33.60,C,2025-10-06 03:01:06.393982+00:00
temperature_read,300000000012E1,8.30,C,2025-10-06 03:01:06.394225+00:00
temperature_read,300000000012E2,-2.90,C,2025-10-06 03:01:06.394439+00:00
temperature_read,300000000012E4,16.60,F,2025-10-06 03:01:06.394902+00:00
temperature_read,300000000012E5,10.50,F,2025-10-06 03:01:06.395143+00:00
temperature_read,300000000012E9,-9.90,F,2025-10-06 03:01:06.396200+00:00
temperature_read,300000000012EB,12.30,F,2025-10-06 03:01:06.396688+00:00
temperature_read,300000000012EF,8.70,F,2025-10-06 03:01:06.397764+00:00
temperature_read,300000000012F5,34.10,C,2025-10-06 03:01:06.399336+00:00
temperature_read,300000000012F8,-1.90,F,2025-10-06 03:01:06.400351+00:00
temperature_read,300000000012FA,21.90,C,2025-10-06 03:01:06.400896+00:00
temperature_read,300000000012FC,16.80,F,2025-10-06 03:01:06.401397+00:00
temperature_read,300000000012FD,34.90,F,2025-10-06 03:01:06.401670+00:00
