event,epc,item_name,sku,price,currency,timestamp
price_lookup,3000000000177E,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:07:00.083655+00:00
price_lookup,30000000001781,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:07:00.084507+00:00
price_lookup,30000000001782,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:07:00.084753+00:00
price_lookup,30000000001784,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:07:00.085349+00:00
price_lookup,30000000001787,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:07:00.086351+00:00
price_lookup,3000000000179B,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:07:00.092372+00:00
price_lookup,3000000000179C,Water Bottle,WB-4456,24.99,USD,2025-10-06 03:07:00.092644+00:00
price_lookup,300000000017A1,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:07:00.094044+00:00
price_lookup,300000000017A6,Running Shoes,RS-6678,129.99,USD,2025-10-06 03:07:00.095484+00:00
price_lookup,300000000017A8,Sunglasses,SG-7789,159.99,USD,2025-10-06 03:07:00.096088+00:00
price_lookup,300000000017AA,Backpack,BP-1123,79.99,USD,2025-10-06 03:07:00.096634+00:00
price_lookup,300000000017AC,Leather Jacket,LJ-4577,199.99,USD,2025-10-06 03:07:00.097204+00:00
price_lookup,300000000017AE,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:07:00.097753+00:00
price_lookup,300000000017B0,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:07:00.098329+00:00
price_lookup,300000000017B2,Smart Watch,SW-3345,299.99,USD,2025-10-06 03:07:00.099108+00:00
price_lookup,300000000017B4,Wireless Headphones,WH-8921,149.99,USD,2025-10-06 03:07:00.099692+00:00
price_lookup,300000000017BA,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:07:00.101436+00:00
price_lookup,300000000017BC,Backpack,BP-1123,79.99,USD,2025-10-06 03:07:00.101990+00:00
price_lookup,300000000017BD,Laptop Sleeve,LS-9900,39.99,USD,2025-10-06 03:07:00.102283+00:00
price_lookup,300000000017BE,Backpack,BP-1123,79.99,USD,2025-10-06 03:07:00.102587+00:00
price_lookup,300000000017BF,Smart Watch,SW-3345,299.99,USD,2025-10-06 03:07:00.102820+00:00
